wavelength diffuse_irrad
3.500e+02 2.730e+02
3.600e+02 2.720e+02
3.700e+02 3.249e+02
3.800e+02 2.904e+02
3.900e+02 2.971e+02
4.000e+02 4.087e+02
4.100e+02 3.779e+02
4.200e+02 3.838e+02
4.300e+02 2.966e+02
4.400e+02 3.875e+02
4.500e+02 4.325e+02
4.600e+02 4.142e+02
4.700e+02 3.906e+02
4.800e+02 4.008e+02
4.900e+02 3.781e+02
5.000e+02 3.506e+02
5.100e+02 3.350e+02
5.200e+02 3.117e+02
5.300e+02 3.149e+02
5.400e+02 2.925e+02
5.500e+02 2.957e+02
5.600e+02 2.705e+02
5.700e+02 2.650e+02
5.800e+02 2.611e+02
5.900e+02 2.407e+02
6.000e+02 2.400e+02
6.100e+02 2.281e+02
6.200e+02 2.233e+02
6.300e+02 2.155e+02
6.400e+02 2.065e+02
6.500e+02 1.991e+02
6.600e+02 1.921e+02
6.700e+02 1.861e+02
6.800e+02 1.783e+02
6.900e+02 1.732e+02
7.000e+02 1.675e+02
7.100e+02 1.588e+02
7.200e+02 1.329e+02
7.300e+02 1.287e+02
7.400e+02 1.335e+02
7.500e+02 1.333e+02
7.600e+02 8.854e+01
7.700e+02 1.134e+02
7.800e+02 1.146e+02
7.900e+02 1.107e+02
8.000e+02 1.038e+02
8.100e+02 9.508e+01
8.200e+02 8.197e+01
8.300e+02 8.531e+01
8.400e+02 8.750e+01
8.500e+02 7.908e+01
8.600e+02 8.290e+01
8.700e+02 8.082e+01
8.800e+02 7.781e+01
8.900e+02 7.281e+01
9.000e+02 5.725e+01
9.100e+02 5.679e+01
9.200e+02 5.647e+01
9.300e+02 2.816e+01
9.400e+02 2.287e+01
9.500e+02 2.125e+01
9.600e+02 2.542e+01
9.700e+02 4.243e+01
9.800e+02 4.397e+01
9.900e+02 4.761e+01
1.000e+03 4.781e+01
