wavelength direct_irrad
3.500e+02 3.779e+02
3.600e+02 4.054e+02
3.700e+02 5.188e+02
3.800e+02 4.949e+02
3.900e+02 5.385e+02
4.000e+02 7.857e+02
4.100e+02 7.654e+02
4.200e+02 8.174e+02
4.300e+02 6.629e+02
4.400e+02 9.079e+02
4.500e+02 1.061e+03
4.600e+02 1.059e+03
4.700e+02 1.040e+03
4.800e+02 1.111e+03
4.900e+02 1.090e+03
5.000e+02 1.051e+03
5.100e+02 1.040e+03
5.200e+02 1.002e+03
5.300e+02 1.049e+03
5.400e+02 1.009e+03
5.500e+02 1.056e+03
5.600e+02 9.963e+02
5.700e+02 1.007e+03
5.800e+02 1.024e+03
5.900e+02 9.741e+02
6.000e+02 1.003e+03
6.100e+02 9.815e+02
6.200e+02 9.890e+02
6.300e+02 9.822e+02
6.400e+02 9.687e+02
6.500e+02 9.618e+02
6.600e+02 9.525e+02
6.700e+02 9.470e+02
6.800e+02 9.309e+02
6.900e+02 9.284e+02
7.000e+02 9.227e+02
7.100e+02 8.966e+02
7.200e+02 7.698e+02
7.300e+02 7.645e+02
7.400e+02 8.138e+02
7.500e+02 8.332e+02
7.600e+02 5.678e+02
7.700e+02 7.463e+02
7.800e+02 7.738e+02
7.900e+02 7.673e+02
8.000e+02 7.394e+02
8.100e+02 6.913e+02
8.200e+02 6.085e+02
8.300e+02 6.468e+02
8.400e+02 6.777e+02
8.500e+02 6.258e+02
8.600e+02 6.705e+02
8.700e+02 6.682e+02
8.800e+02 6.579e+02
8.900e+02 6.298e+02
9.000e+02 5.067e+02
9.100e+02 5.120e+02
9.200e+02 5.188e+02
9.300e+02 2.636e+02
9.400e+02 2.183e+02
9.500e+02 2.068e+02
9.600e+02 2.523e+02
9.700e+02 4.296e+02
9.800e+02 4.543e+02
9.900e+02 5.021e+02
1.000e+03 5.147e+02
