wavelength diffuse_irrad
3.500e+02 2.293e+02
3.600e+02 2.292e+02
3.700e+02 2.752e+02
3.800e+02 2.477e+02
3.900e+02 2.557e+02
4.000e+02 3.553e+02
4.100e+02 3.316e+02
4.200e+02 3.404e+02
4.300e+02 2.662e+02
4.400e+02 3.523e+02
4.500e+02 3.987e+02
4.600e+02 3.870e+02
4.700e+02 3.701e+02
4.800e+02 3.855e+02
4.900e+02 3.694e+02
5.000e+02 3.482e+02
5.100e+02 3.380e+02
5.200e+02 3.196e+02
5.300e+02 3.284e+02
5.400e+02 3.105e+02
5.500e+02 3.197e+02
5.600e+02 2.973e+02
5.700e+02 2.962e+02
5.800e+02 2.971e+02
5.900e+02 2.788e+02
6.000e+02 2.833e+02
6.100e+02 2.739e+02
6.200e+02 2.728e+02
6.300e+02 2.680e+02
6.400e+02 2.614e+02
6.500e+02 2.568e+02
6.600e+02 2.521e+02
6.700e+02 2.485e+02
6.800e+02 2.422e+02
6.900e+02 2.396e+02
7.000e+02 2.361e+02
7.100e+02 2.279e+02
7.200e+02 1.943e+02
7.300e+02 1.917e+02
7.400e+02 2.027e+02
7.500e+02 2.063e+02
7.600e+02 1.397e+02
7.700e+02 1.824e+02
7.800e+02 1.879e+02
7.900e+02 1.852e+02
8.000e+02 1.773e+02
8.100e+02 1.651e+02
8.200e+02 1.446e+02
8.300e+02 1.531e+02
8.400e+02 1.597e+02
8.500e+02 1.468e+02
8.600e+02 1.566e+02
8.700e+02 1.554e+02
8.800e+02 1.524e+02
8.900e+02 1.453e+02
9.000e+02 1.164e+02
9.100e+02 1.172e+02
9.200e+02 1.184e+02
9.300e+02 5.994e+01
9.400e+02 4.947e+01
9.500e+02 4.672e+01
9.600e+02 5.680e+01
9.700e+02 9.641e+01
9.800e+02 1.016e+02
9.900e+02 1.120e+02
1.000e+03 1.144e+02
