wavelength direct_irrad
3.500e+02 4.692e+02
3.600e+02 4.945e+02
3.700e+02 6.225e+02
3.800e+02 5.847e+02
3.900e+02 6.269e+02
4.000e+02 9.020e+02
4.100e+02 8.684e+02
4.200e+02 9.169e+02
4.300e+02 7.356e+02
4.400e+02 9.970e+02
4.500e+02 1.153e+03
4.600e+02 1.141e+03
4.700e+02 1.111e+03
4.800e+02 1.176e+03
4.900e+02 1.145e+03
5.000e+02 1.095e+03
5.100e+02 1.076e+03
5.200e+02 1.030e+03
5.300e+02 1.070e+03
5.400e+02 1.023e+03
5.500e+02 1.064e+03
5.600e+02 9.976e+02
5.700e+02 1.002e+03
5.800e+02 1.013e+03
5.900e+02 9.590e+02
6.000e+02 9.822e+02
6.100e+02 9.567e+02
6.200e+02 9.596e+02
6.300e+02 9.487e+02
6.400e+02 9.315e+02
6.500e+02 9.207e+02
6.600e+02 9.082e+02
6.700e+02 8.994e+02
6.800e+02 8.807e+02
6.900e+02 8.748e+02
7.000e+02 8.661e+02
7.100e+02 8.386e+02
7.200e+02 7.175e+02
7.300e+02 7.101e+02
7.400e+02 7.532e+02
7.500e+02 7.685e+02
7.600e+02 5.221e+02
7.700e+02 6.840e+02
7.800e+02 7.069e+02
7.900e+02 6.988e+02
8.000e+02 6.713e+02
8.100e+02 6.262e+02
8.200e+02 5.499e+02
8.300e+02 5.831e+02
8.400e+02 6.096e+02
8.500e+02 5.616e+02
8.600e+02 6.004e+02
8.700e+02 5.969e+02
8.800e+02 5.864e+02
8.900e+02 5.600e+02
9.000e+02 4.496e+02
9.100e+02 4.535e+02
9.200e+02 4.587e+02
9.300e+02 2.327e+02
9.400e+02 1.923e+02
9.500e+02 1.819e+02
9.600e+02 2.215e+02
9.700e+02 3.766e+02
9.800e+02 3.975e+02
9.900e+02 4.386e+02
1.000e+03 4.488e+02
